Persons Employed as Substitute Teachers
School Name,Grade Level,Subjects Elementary Long Term, Short Term, Mathematics Long Term, Short Term, Science Long Term, Short Term, Social Studies Long Term, Short Term, English Long Term, Short Term
Liberty HS,9-12,N/A,N/A,0,73,0,70,0,148,0,107
Lied MS,6-8,N/A,N/A,0,54,3,61,0,22,4,63
Lincoln ES,K-5,5,168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Long ES,PK-5,8,516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lowman ES,PK-5,10,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lummis ES,PK-5,3,149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lundy ES,K-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lunt ES,PK-5,13,184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lynch ES,PK-5,23,105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lyon MS,6-8,N/A,N/A,0,34,0,86,0,25,0,67
Mack (Jerome) MS,6-8,N/A,N/A,3,25,2,13,0,5,0,21
Mack (Nate) ES,PK-5,4,126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mackey ES,PK-5,4,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Mackey, Jo MS",06-08,N/A,N/A,0,2,2,5,1,1,0,0
Manch ES,PK-5,8,116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mannion MS,6-8,N/A,N/A,5,46,0,43,0,24,0,102
Martin MS,6-8,N/A,N/A,6,8,2,13,0,12,0,12
Martinez ES,PK-5,13,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mathis ES,PK-05,3,345,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
May ES,PK-5,9,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Call ES,PK-5,3,169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Caw ES,PK-5,2,241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Clure Corr Ctr,PK-PK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Doniel ES,PK-5,6,185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Millan ES,Pre K-5,9,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Williams ES,PK-5,7,85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mendoza ES,PK-5,11,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miley Achievement Center ES,K-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miley Achievement Center Sec,06-12,N/A,N/A,0,0,0,0,0,1,0,7
Miller (Bob) MS,6-8,N/A,N/A,2,42,0,72,1,44,1,140
Miller (John) School,Ungraded,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miller (Sandy) ES,1-5,9,124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mission High School,06-12,N/A,N/A,0,1,0,0,0,1,0,5
Mitchell ES,PK-2,5,251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moapa Valley HS,9-12,N/A,N/A,0,30,0,8,0,23,0,34
